name,name_of_building,Super_Area,Under_Construction,Transaction,Furnishing,Bathroom,price,builder
"3 BHK Flat for Sale in Risland Sky Mansion, Chattarpur, New Delhi",Risland Sky Mansion,"SUPER AREA
3300 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Semi-Furnished","SOCIETY
Risland Sky Mansion","₹
6.41 Cr",Builder: Risland India
"3 BHK Flat for Sale in Leela Skyvillas Navin Minar, Patel Nagar, New Delhi",Leela Skyvillas Navin Minar,"SUPER AREA
2306 sqft","UNDER CONSTRUCTION
Poss. by Aug '25","TRANSACTION
New Property","FURNISHING
Unfurnished","SOCIETY
Leela Skyvillas Navin Minar","₹
6.98 Cr",Builder: Raheja Developers Ltd.
"3 BHK Flat for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar, New Delhi",M2K Victoria Gardens,"CARPET AREA
1300 sqft","STATUS
Ready to Move","FLOOR
Ground out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
5.91 Cr",Builder: M2K
"3 BHK Flat for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar, New Delhi",,"CARPET AREA
1000 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
5.91 Cr",
"3 BHK Flat for Sale in Godrej South Estate, Okhla, New Delhi",,"CARPET AREA
1450 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
7.02 Cr",
"3 BHK Flat for Sale in TARC Kailasa, Kirti Nagar, New Delhi",,"CARPET AREA
870 sqft","STATUS
Ready to Move","FLOOR
4 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
9.10 Cr",
"3 BHK Flat for Sale in M2K Victoria Gardens, Model Town, New Delhi",,"SUPER AREA
2000 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
3.50 Cr",
"3 BHK Flat for Sale in Premium Builder Floor, Greater Kailash 1, New Delhi",,"SUPER AREA
1942 sqft","STATUS
Ready to Move","FLOOR
5 out of 10","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
6.25 Cr",
"2 BHK Flat for Sale in Saket, New Delhi",,"SUPER AREA
558 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Furnished","₹
45 Lac",
"3 BHK Flat for Sale in Safdarjung Enclave, New Delhi",,"SUPER AREA
1800 sqft","STATUS
Ready to Move","FLOOR
9 out of 10","TRANSACTION
Resale","FURNISHING
Furnished","₹
5.50 Cr",
"3 BHK Flat for Sale in Safdarjung Enclave, New Delhi",,"SUPER AREA
60 sqm","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
4.50 Cr",
"3 BHK Flat for Sale in Kishangarh, Vasant Kunj, New Delhi",,"CARPET AREA
550 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
1.25 Cr",
"3 BHK Flat for Sale in Defence Colony, New Delhi",,"SUPER AREA
900 sqft","STATUS
Ready to Move","FLOOR
Ground out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
6.75 Cr",
"3 BHK Flat for Sale in Saksham Apartment, Sector 10 Dwarka, New Delhi",,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
5 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
2.60 Cr",
"3 BHK Flat for Sale in DDA Flats Vasant Kunj, Vasant Kunj, New Delhi",,"CARPET AREA
1750 sqft","STATUS
Ready to Move","FLOOR
Ground out of 2","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
3.30 Cr",
"3 BHK Flat for Sale in Defence Colony, New Delhi",,"CARPET AREA
1000 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
6.50 Cr",
"2 BHK Flat for Sale in Classic Apartment, Sector 22 Dwarka, New Delhi",,"SUPER AREA
55 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Furnished","₹
2.20 Cr",
"3 BHK Flat for Sale in Mahavir Enclave, New Delhi",,"CARPET AREA
1050 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
90 Lac",
"3 BHK Flat for Sale in DDA Flats Munirka, Munirka, New Delhi",,"SUPER AREA
1000 sqft","STATUS
Ready to Move","FLOOR
Ground out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
1.75 Cr",
"3 BHK Flat for Sale in Sector 24 Rohini, New Delhi",,"CARPET AREA
90 sqyrd","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
83 Lac",
"3 BHK Flat for Sale in Raj Vihar Apartment, Sector 18 Dwarka, New Delhi",,"CARPET AREA
1020 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished","₹
2.55 Cr",
